/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
0.019870418700000003 : [0.12515, 0.12072, 0, 0.12048, 0.10702, 0.11083, 0.07507, 0.12314, 0.09056] : {1: 4, 2: 8, 3: 3, 4: 3, 5: 3, 6: 1, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 5, 'Z': 1}
0.019864957500000002 : [0.12441, 0.12146, 0, 0.12048, 0.10702, 0.11083, 0.07507, 0.12314, 0.09056] : {1: 3, 2: 9, 3: 3, 4: 3, 5: 3, 6: 1, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 5, 'Z': 2}
0.019864602300000003 : [0.12441, 0.12072, 0, 0.12122, 0.10702, 0.11083, 0.07507, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 4, 4: 3, 5: 3, 6: 1, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 5, 'Z': 3}
0.019844681500000003 : [0.12441, 0.12072, 0, 0.12048, 0.10776, 0.11083, 0.07507, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 4, 5: 3, 6: 1, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 5, 'Z': 4}
0.019797395500000002 : [0.12441, 0.12072, 0, 0.12048, 0.10702, 0.11083, 0.07581, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 5, 'Z': 6}
0.0192379491 : [0.12515, 0.12072, 0, 0.12048, 0.10702, 0.09109, 0.09481, 0.12314, 0.09056] : {1: 4, 2: 8, 3: 3, 4: 3, 5: 2, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 1}
0.019232487899999998 : [0.12441, 0.12146, 0, 0.12048, 0.10702, 0.09109, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 9, 3: 3, 4: 3, 5: 2, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 2}
0.019232132699999998 : [0.12441, 0.12072, 0, 0.12122, 0.10702, 0.09109, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 4, 4: 3, 5: 2, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 3}
0.019212211899999998 : [0.12441, 0.12072, 0, 0.12048, 0.10776, 0.09109, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 4, 5: 2, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 4}
0.0191886355 : [0.12441, 0.12072, 0, 0.12048, 0.10702, 0.09183, 0.09481, 0.12314, 0.09056] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 5}
0.019187851099999997 : [0.12441, 0.12072, 0, 0.12048, 0.10702, 0.09109, 0.09481, 0.12314, 0.0913] : {1: 3, 2: 8, 3: 3, 4: 3, 5: 2, 6: 2, 7: 2, 8: 2, None: 1} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': None, 'F': 2, 'G': 2, 'H': 3, 'I': 4, 'J': 2, 'K': 2, 'L': 3, 'M': 2, 'N': 5, 'O': 6, 'P': 3, 'Q': 2, 'R': 7, 'S': 7, 'T': 8, 'U': 4, 'V': 4, 'W': 5, 'X': 2, 'Y': 6, 'Z': 8}
