/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.0133967615 : [0.09981, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.09481, 0.05987, 0.06327, 0.09056] : {1: 5, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 1, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 7, 'Z': 1}
0.0133894503 : [0.09907, 0.09487, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.09481, 0.05987, 0.06327, 0.09056] : {1: 4, 2: 5, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 1, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 7, 'Z': 2}
0.0133888435 : [0.09907, 0.09413, 0, 0.09859, 0.09446, 0.08712, 0.09109, 0.09481, 0.05987, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 3, 5: 3, 6: 2, 7: 2, 8: 1, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 7, 'Z': 4}
0.0133790755 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08786, 0.09109, 0.09481, 0.05987, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 4, 6: 2, 7: 2, 8: 1, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 7, 'Z': 5}
0.0133387455 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.09481, 0.06061, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 7, 'Z': 8}
0.0127966655 : [0.09981, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07507, 0.07961, 0.06327, 0.09056] : {1: 5, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 1}
0.0127893543 : [0.09907, 0.09487, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07507, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 5, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 2}
0.012788747500000001 : [0.09907, 0.09413, 0, 0.09859, 0.09446, 0.08712, 0.09109, 0.07507, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 3, 5: 3, 6: 2, 7: 1, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 4}
0.0127789795 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08786, 0.09109, 0.07507, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 4, 6: 2, 7: 1, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 5}
0.0127611455 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07581, 0.07961, 0.06327, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 2, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 7}
0.0127436815 : [0.09907, 0.09413, 0, 0.09859, 0.09372, 0.08712, 0.09109, 0.07507, 0.07961, 0.06401, 0.09056] : {1: 4, 2: 4, 3: 4, 4: 2, 5: 3, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 1, 'C': 2, 'D': 2, 'E': None, 'F': 2, 'G': 3, 'H': 3, 'I': 4, 'J': 1, 'K': 3, 'L': 5, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 5, 'V': 3, 'W': 6, 'X': 2, 'Y': 8, 'Z': 9}
