/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D10
0.011122335716046376 : {1: 0.1078, 2: 0.10888, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.10861, 8: 0.09562, 9: 0.07248, 10: 0.10374} : {1: 6, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 7, 'Z': 1}
0.01110157507391919 : {1: 0.10696, 2: 0.10888, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.10861, 8: 0.09562, 9: 0.07248, 10: 0.10374} : {1: 5, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 1, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 7, 'Z': 3}
0.011063879651684512 : {1: 0.10696, 2: 0.10888, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.10861, 8: 0.09562, 9: 0.07332, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 7, 'Z': 9}
0.01051102710583101 : {1: 0.1078, 2: 0.10888, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 6, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 9, 'Z': 1}
0.010490266463703823 : {1: 0.10696, 2: 0.10888, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 9, 'Z': 3}
0.01047548737234855 : {1: 0.10696, 2: 0.10888, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08684, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 1, 'Y': 9, 'Z': 7}
0.010471936548289932 : {1: 0.10609, 2: 0.10888, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 5, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 3, 'Y': 9, 'Z': 1}
0.010457002091979544 : {1: 0.10524, 2: 0.10888, None: 0, 3: 0.09728, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08599, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 5, 4: 2, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 3, 'Y': 9, 'Z': 3}
0.010439309907715872 : {1: 0.10524, 2: 0.10888, None: 0, 3: 0.09643, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08684, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 3, 'Y': 9, 'Z': 7}
0.010424131381459104 : {1: 0.10524, 2: 0.10888, None: 0, 3: 0.09556, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08771, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 7, 'Y': 9, 'Z': 3}
0.010412265383012227 : {1: 0.10524, 2: 0.10888, None: 0, 3: 0.09471, 4: 0.09737, 5: 0.10189, 6: 0.1089, 7: 0.08856, 8: 0.09562, 9: 0.09509, 10: 0.10374} : {1: 4, 2: 4, 3: 3, 4: 2, 5: 2, 6: 2, 7: 3, 8: 2, 9: 2, 10: 1, None: 1} : {'A': 1, 'B': 2, 'C': 2, 'D': 2, 'E': None, 'F': 3, 'G': 3, 'H': 4, 'I': 5, 'J': 1, 'K': 1, 'L': 3, 'M': 4, 'N': 6, 'O': 7, 'P': 5, 'Q': 1, 'R': 8, 'S': 9, 'T': 10, 'U': 6, 'V': 2, 'W': 8, 'X': 7, 'Y': 9, 'Z': 7}
