/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D8
0.0002739646999999997 : {1: 0.12913, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.1103} : {1: 7, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 1, 'Y': 8, 'Z': 1}
0.0002711970999999998 : {1: 0.12839, 2: 0.12726, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.1103} : {1: 6, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 1, 'Y': 8, 'Z': 2}
0.00027079749999999977 : {1: 0.12839, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12699, 7: 0.12314, 8: 0.1103} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 1, 'Y': 8, 'Z': 6}
0.0002661946999999998 : {1: 0.12839, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12388, 8: 0.1103} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 1, 'Y': 8, 'Z': 7}
0.0002471915000000001 : {1: 0.12839, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.11104} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 1, 'Y': 8, 'Z': 8}
0.00024608150000000016 : {1: 0.12689, 2: 0.12802, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.11104} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 2, 'Y': 8, 'Z': 8}
0.0002452715000000001 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12775, 7: 0.12314, 8: 0.11104} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 6, 'Y': 8, 'Z': 8}
0.00023594150000000004 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12464, 8: 0.11104} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 7, 'Y': 8, 'Z': 8}
0.00022197469999999972 : {1: 0.12763, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.1118} : {1: 6, 2: 6, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 8, 'Y': 8, 'Z': 1}
0.00022142709999999977 : {1: 0.12689, 2: 0.12726, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12625, 7: 0.12314, 8: 0.1118} : {1: 5, 2: 7, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 8, 'Y': 8, 'Z': 2}
0.00022102749999999973 : {1: 0.12689, 2: 0.12652, 3: 0.12702, 4: 0.12843, 5: 0.1292, 6: 0.12699, 7: 0.12314, 8: 0.1118} : {1: 5, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 2, 8: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 2, 'E': 3, 'F': 2, 'G': 2, 'H': 4, 'I': 5, 'J': 1, 'K': 2, 'L': 5, 'M': 2, 'N': 4, 'O': 6, 'P': 5, 'Q': 1, 'R': 7, 'S': 7, 'T': 8, 'U': 6, 'V': 2, 'W': 6, 'X': 8, 'Y': 8, 'Z': 6}
