/usr/bin/python3.10 /home/milan/PycharmProjects/0d0p/comb_w_cond.py
solving column for D6
0.0002585465666666662 : {1: 0.17166, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16252, 6: 0.15383} : {1: 8, 2: 3, 3: 5, 4: 5, 5: 3, 6: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 1, 'Y': 4, 'Z': 1}
0.00025637096666666616 : {1: 0.17092, 2: 0.17019, 3: 0.17216, 4: 0.17037, 5: 0.16252, 6: 0.15383} : {1: 7, 2: 4, 3: 5, 4: 5, 5: 3, 6: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 1, 'Y': 4, 'Z': 2}
0.0002461145666666661 : {1: 0.17092, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16326, 6: 0.15383} : {1: 7, 2: 3, 3: 5, 4: 5, 5: 4, 6: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 1, 'Y': 4, 'Z': 5}
0.00023325336666666648 : {1: 0.17092, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16252, 6: 0.15457} : {1: 7, 2: 3, 3: 5, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 1, 'Y': 4, 'Z': 6}
0.0002276345666666661 : {1: 0.16942, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16476, 6: 0.15383} : {1: 6, 2: 3, 3: 5, 4: 5, 5: 5, 6: 2} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 5, 'Y': 4, 'Z': 5}
0.0002125533666666664 : {1: 0.16942, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16402, 6: 0.15457} : {1: 6, 2: 3, 3: 5, 4: 5, 5: 4, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 5, 'Y': 4, 'Z': 6}
0.00020955656666666618 : {1: 0.17016, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16252, 6: 0.15533} : {1: 7, 2: 3, 3: 5, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 6, 'Y': 4, 'Z': 1}
0.00019934456666666607 : {1: 0.16942, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16326, 6: 0.15533} : {1: 6, 2: 3, 3: 5, 4: 5, 5: 4, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 6, 'Y': 4, 'Z': 5}
0.00018870336666666646 : {1: 0.16942, 2: 0.16945, 3: 0.17216, 4: 0.17037, 5: 0.16252, 6: 0.15607} : {1: 6, 2: 3, 3: 5, 4: 5, 5: 3, 6: 4} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 3, 'W': 4, 'X': 6, 'Y': 4, 'Z': 6}
9.130856666666665e-05 : {1: 0.17166, 2: 0.16945, 3: 0.16238, 4: 0.17037, 5: 0.16252, 6: 0.16361} : {1: 8, 2: 3, 3: 4, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 6, 'W': 4, 'X': 1, 'Y': 4, 'Z': 1}
8.913296666666663e-05 : {1: 0.17092, 2: 0.17019, 3: 0.16238, 4: 0.17037, 5: 0.16252, 6: 0.16361} : {1: 7, 2: 4, 3: 4, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 6, 'W': 4, 'X': 1, 'Y': 4, 'Z': 2}
7.866936666666658e-05 : {1: 0.17092, 2: 0.16945, 3: 0.16312, 4: 0.17037, 5: 0.16252, 6: 0.16361} : {1: 7, 2: 3, 3: 5, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 6, 'W': 4, 'X': 1, 'Y': 4, 'Z': 3}
6.79685666666666e-05 : {1: 0.17016, 2: 0.16945, 3: 0.16388, 4: 0.17037, 5: 0.16252, 6: 0.16361} : {1: 7, 2: 3, 3: 5, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 6, 'W': 4, 'X': 3, 'Y': 4, 'Z': 1}
5.976936666666657e-05 : {1: 0.16942, 2: 0.16945, 3: 0.16462, 4: 0.17037, 5: 0.16252, 6: 0.16361} : {1: 6, 2: 3, 3: 6, 4: 5, 5: 3, 6: 3} : {'A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 2, 'F': 2, 'G': 2, 'H': 3, 'I': 3, 'J': 1, 'K': 3, 'L': 4, 'M': 3, 'N': 4, 'O': 5, 'P': 4, 'Q': 1, 'R': 5, 'S': 6, 'T': 6, 'U': 5, 'V': 6, 'W': 4, 'X': 3, 'Y': 4, 'Z': 3}
